"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","uId","titleId","taxonomyIds","topicIds","lemmata"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.2",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","spoštovan poslanka in poslanec cenjen gost predstavnik sredstvo javen obveščanje nadaljevati z prekinjen 11. skupen deloven seja ves trije zbor skupščina republika Slovenija ker biti odločati o sporen vprašanje v zveza z predlog zakon o pokojninski in invalidski zavarovanje"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.3",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","ker biti biti sprejet sporazumen predlog ves trije zbor se na podlaga četrti odstavek amandma 73 k ustava republika Slovenija o sporen vprašanje v zveza z predlog zakon odločati na skupen seja ves trije zbor skupščina republika Slovenija predlog zakon o pokojninski in invalidski zavarovanje biti uvrstiti na dneven red deloven skupen seja na predlog zbor združen delo sprejem sporen vprašanje v zveza z ta zakon biti poskušati uskladiti na trije deloven seja vendar do danes z ta poskus še biti uspeti zato predlagati da danes ponovno poskusiti uskladiti ta zakon"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.4",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","preden preiti na odločanje o sporen vprašanje morati ugotoviti sklepčnost seja na kateri morati biti navzoč večina ves poslanec vsak zbor kadar zbor odločati na skupen deloven seja veljavno sklepati z večina ves poslanec ves zbor na seja"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.5",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","ugotoviti najprej koliko biti prisoten poslanka in poslanec družbenopolitičen zbor prositi poslanec in poslanka družbenopolitičen zbor"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.7",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","poslanka in poslanec zbor občina"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.9",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","in poslanec in poslanka zbor združen delo"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.11",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","malo počakati biti 41 ampak biti iti eden ven prositi zbor združen delo biti"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.13",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","ali biti potreben da še enkrat poklicati oba ostati zbor biti potreben hvala"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.14",VsiZbor.1992-03-05.d011-04.toc-item1,"taxonomy.2.8","topic.50","ugotavljati da biti navzoč večina ves poslanec vsak zbor in da biti podan sklepčnost skupen deloven seja"
"parl.Skup","delovna seja",11,"1992-03-05","14:30:00","15:20:00","ZupancicJoze1936",1,"VsiZbor.1992-03-05.d011-04.sp-40","VsiZbor.1992-03-05.d011-04.sp-40.15",VsiZbor.1992-03-05.d011-04.toc-item2,"taxonomy.3.9.5.3.5","topic.425","prehajati na odločanje o sporen vprašanje pri predlog zakon o pokojninski in invalidski zavarovanje"
