"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","uId","titleId","taxonomyIds","topicIds","lemmata"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.2",ZbZdruDel.1992-01-15.s036-06.toc-item1,"taxonomy.2.8","topic.50","drag poslanec drag gost cenjen novinar pričeti biti z nadaljevanje 36. seja zbor združen delo skupščina republika Slovenija ki biti on prekiniti v petek dan 27.12.1991. preden pričeti biti ti še enkrat zaželeti srečen roka in bister pamet v letošnji leto zlasti v skupščinski del na deloven mesto pa izredno veliko uspeh in doma veliko sreča na današnji nadaljevanje seja biti prisoten čez 50 poslanec opravičilo se on biti 7 tako da biti sklepčnost dan in lahko pričeti z delo"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.3",ZbZdruDel.1992-01-15.s036-06.toc-item2,"taxonomy.2.8","topic.51","v torek 17.12.1991 ko biti pričeti z 35. seja biti zaključiti z obravnava 1. točka dneven red odobritev zapisnik 9. deloven skupen seja ves zbor 8. točka predlog za izdaja zakon o sprememba in dopolnitev zakon o davek od dobiček praven oseba z predlog zakon 11. točka predlog za izdaja zakon o plačevanje določen ustaven taksa z predlog zakon in 14. točka predlog odlok o stopnja prispevek za obvezen zdravstven zavarovanje"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.4",ZbZdruDel.1992-01-15.s036-06.toc-item2,"taxonomy.2.8","topic.51","v sreda 18.12.1991 drug dan zasedanje biti zaključiti obravnava 2. točka predlog zakon o pokojninski in invalidski zavarovanje in 7. točka predlog za izdaja zakon o sprememba in dopolnitev zakon o dohodnina z predlog zakon ter 12. b točka ocena stanje v turističen gospodarstvo"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.5",ZbZdruDel.1992-01-15.s036-06.toc-item2,"taxonomy.2.8","topic.51","tretji dan ta 36. seja v petek 20.12.1991 biti zaključiti z obravnava in sprejem predlog zakon o zdravstven varstvo in zdravstven zavarovanje predloga za izdaja zakon o dopolnitev zakon o financiranje javen poraba z predlog zakon predlog zakon o začasen financiranje potreba iz republiški proračun v prvi trimesečje leto 1991 in predlog odlok o razporeditev določen prihodek med republika in občina"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.6",ZbZdruDel.1992-01-15.s036-06.toc-item2,"taxonomy.2.8","topic.51","četrti dan v ponedeljek dan 23.12.1991 biti zaključiti z obravnava in sprejem predlog zakon o zdravstven dejavnost in predlog zakon o lekarniški dejavnost"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.7",ZbZdruDel.1992-01-15.s036-06.toc-item2,"taxonomy.2.8","topic.51","peti dan v petek dan 27.12.1991 ko biti zaključiti z obravnava in sprejem predlog zakon o prometen davek predlog zakon o zamuden obresten mera in izjava skupščina republika Slovenija o priznanje republika bivši sovjetski zveza"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.8",ZbZdruDel.1992-01-15.s036-06.toc-item3,"taxonomy.3.9.5.3.5","topic.425","torej biti imeti 36. seja doslej že kar petkrat poslušati in sprejeti biti poročilo usklajevalen skupina delegat pri predlog za izdaja zakon o sprememba in dopolnitev zakon o dohodnina z predlog zakon obravnavati biti poročilo usklajevalen komisija pri predlog zakon o pokojninski in invalidski zavarovanje in on prav tako sprejeti glede na ta da zakon biti biti sprejet v pretekel leto biti izvršen svet skupščina republika Slovenija pripraviti amandma po določba 155. člen ustava republika Slovenija uraden list republika Slovenija št. 33/91 zakon ne moči imeti učinek za nazaj zato biti nujno spremeniti datum pričetek veljavnost zakon o pokojninski in invalidski zavarovanje in datum do kateri se uporabljati prejšnji predpis ki biti biti v predlog zakon določen glede na takrat predviden datum sprejem ta zakon predlagati da se ponovno vrniti najprej na ta točka in sprejeti oba amandma izvršen svet skupščina republika Slovenija ki biti on prejeti danes na klop"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-632","ZbZdruDel.1992-01-15.s036-06.sp-632.9",ZbZdruDel.1992-01-15.s036-06.toc-item3,"taxonomy.3.9.5.3.5","topic.425","prositi predstavnik izvršen svet skupščina republika Slovenija da obrazložiti amandma če biti potreben ker iti tudi za sprememba gospa Puhar ministrica za delo prositi"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","PuharJozica1942",0,"ZbZdruDel.1992-01-15.s036-06.sp-633","ZbZdruDel.1992-01-15.s036-06.sp-633.2",ZbZdruDel.1992-01-15.s036-06.toc-item3,"taxonomy.3.9.5.3.5","topic.425","hvala lep spoštovan poslanec jaz biti ti rad opozoriti na dva pomanjkljivost ki biti se zgoditi v predložen amandma in sicer v prvi amandma biti biti treba dodati še en člen 296. ker misliti da biti biti ta tudi predlog zakonodajno-praven komisija in ta verjetno že imeti pač pa v drug amandma kjer pa ta predlog biti biti biti ugotoviti da biti treba izpustiti člen 308. tako da ostati če gledati ta besedilo 300. in 310. člen 308. se pa izpustiti prositi da upoštevati še ta popravek da biti besedilo čim bolj točno hvala lep kakšen širok obrazložitev pa misliti da biti potreben glede na ta da biti vse povedati gospod predsednik"
"parl.ZbZdruDel","seja",36,"1992-01-15","10:15:00","12:44:00","ZupancicJoze1936",1,"ZbZdruDel.1992-01-15.s036-06.sp-634","ZbZdruDel.1992-01-15.s036-06.sp-634.2",ZbZdruDel.1992-01-15.s036-06.toc-item3,"taxonomy.3.9.5.3.5","topic.425","hvala želeti mogoče predstavnik zakonodajno-praven komisija beseda"
