"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","",0,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.1",DruzPolZb.1990-12-06.s009-02.toc-item1,"","","speaker","PREDSEDNIK DR. LUDVIK TOPLAK:"
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","ToplakLudvik1942",1,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.2",DruzPolZb.1990-12-06.s009-02.toc-item1,"taxonomy.2.8","topic.50","utterance","Gospe in gospodje, nadaljujemo 9. sejo Družbenopolitičnega zbora, žal z zamudo. Za nadaljevanje seje se je opravičil mag. Janez Kocijančič, po podatkih službe pred dvema minutama - je prisotnih 50 delegatov."
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","ToplakLudvik1942",1,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.3",DruzPolZb.1990-12-06.s009-02.toc-item1,"taxonomy.2.8","topic.50","utterance","Ker vidim, da še prihajajo, prosim, da zavzamejo svoja mesta. Ker so glasovalne naprave še naprej pokvarjene, prosim, da to sprejmemo z razumevanjem. Zahteval sem, na včerajšnjo intervencijo tudi poslanca Školča in pred tem osebno, pojasnilo. Povedali so mi, da so pisno obvestilo dobili vsi delegati na klop. Povedati moram, da sem včeraj zjutraj izvedel, da so pokvarjene Prosim prisotne, da dvignejo zeleni karton, da ugotovimo prisotnost, da lahko nadaljujemo delo."
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","ToplakLudvik1942",1,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.4",DruzPolZb.1990-12-06.s009-02.toc-item1,"taxonomy.2.8","topic.50","utterance","Ugotovimo sklepčnost!"
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","",0,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.5",DruzPolZb.1990-12-06.s009-02.toc-item1,"","","quorum","46 prisotnih."
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","ToplakLudvik1942",1,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.6",DruzPolZb.1990-12-06.s009-02.toc-item1,"taxonomy.2.8","topic.50","utterance","Po včerajšnji obljubi tudi do sedaj še nisem dobil obvestila glede skupne seje. Zdajle slišim, da je medtem prišlo obvestilo za ob dveh. Vmes se bo po vsej verjetnosti morala sestati ustavno Zakonodajno-pravna komisija med zbori, zato je pričakovati, da utegnemo vmes za krajši čas sejo tudi prekiniti. Pavza, odmor za kosilo, je predviden ob 12.30 uri, kot običajno."
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","ToplakLudvik1942",1,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.7",DruzPolZb.1990-12-06.s009-02.toc-item2,"taxonomy.3.9.5.1.1","topic.397","utterance","10. TOČKA DNEVNEGA REDA - PREDLOG ZA IZDAJO ZAKONA O SPREMEMBI IN DOPOLNITVAH ZAKONA O DELAVCIH V DRŽAVNIH ORGANIH, Z OSNUTKOM ZAKONA."
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","ToplakLudvik1942",1,"DruzPolZb.1990-12-06.s009-02.sp-269","DruzPolZb.1990-12-06.s009-02.sp-269.8",DruzPolZb.1990-12-06.s009-02.toc-item2,"taxonomy.3.9.5.1.1","topic.397","utterance","Predlog za izdajo zakona o spremembah in dopolnitvah zakona, z osnutkom zakona, je predložil v obravnavo Izvršni svet Republike Slovenije. Obravnavali so ga Zakonodajno-pravna komisija, Odbor za pravosodje in upravo na ravni Skupščine Republike Slovenije. Predstavnik predlagatelja na seji je gospa Puharjeva. Smo pri točki predloga za izdajo zakona o spremembah in dopolnitvah zakona o delavcih v organih državne uprave, z osnutkom zakona. Želite morda besedo? Kdo je predstavnik predlagatelja? Rajko Pirnat bi naj bil. Ni prisoten. Lepo prosim! A, to, kar ste včeraj povedali. Hvala lepa. Želijo besedo poročevalci delovnih teles? Prosim, gospod Kociper!"
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","",0,"DruzPolZb.1990-12-06.s009-02.sp-270","DruzPolZb.1990-12-06.s009-02.sp-270.1",DruzPolZb.1990-12-06.s009-02.toc-item2,"","","speaker","ŠTEFAN KOCIPER:"
"parl.DruzPolZb","seja",9,"1990-12-06","10:30:00","12:50:00","KociperStefan1952",0,"DruzPolZb.1990-12-06.s009-02.sp-270","DruzPolZb.1990-12-06.s009-02.sp-270.2",DruzPolZb.1990-12-06.s009-02.toc-item2,"taxonomy.3.9.5.1.1","topic.397","utterance","Odbor za socialno politiko, delo in zaposlovanje se je v načelni razpravi strinjal s stališčem predlagatelja, da ni razlogov, da bi imeli delavci v državnih organih, katerih delo ni več potrebno, drugačen delovnopravni in socialni položaj kot delavci v drugih dejavnostih, vendar je poudaril, da morajo biti tem delavcem tudi sistemsko v delovno pravni zakonodaji zagotovljene enake pravice kot drugim delavcem. To velja predvsem za sindikalno organiziranje, soupravljanje, sprejemanje kolektivnih pogodb itd., kar bo treba urediti ob pripravi novih zakonskih predpisov, ki bodo urejali položaj vseh javnih uslužbencev. Hvala lepa."
